=== WELL-BALANCED TEAMS ===
WB-Team 4,P050,Participant_50,user50@university.edu,Basketball,Coordinator,5,Balanced
WB-Team 4,P008,Participant_8,user8@university.edu,Valorant,Defender,10,Balanced
WB-Team 4,P062,Participant_62,user62@university.edu,Basketball,Attacker,6,Balanced

=== SECONDARY TEAMS ===
Team,ID,Name,Email,Game,Role,Skill,PersonalityType
SC-Team 1,P039,Participant_39,user39@university.edu,FIFA,Supporter,5,Thinker
SC-Team 1,P031,Participant_31,user31@university.edu,Basketball,Strategist,8,Leader
SC-Team 1,P085,Participant_85,user85@university.edu,Basketball,Coordinator,10,Leader
SC-Team 1,P061,Participant_61,user61@university.edu,CS:GO,Strategist,7,Leader
SC-Team 1,P052,Participant_52,user52@university.edu,FIFA,Attacker,2,Leader
SC-Team 1,P043,Participant_43,user43@university.edu,DOTA 2,Defender,2,Leader
SC-Team 1,P022,Participant_22,user22@university.edu,Chess,Attacker,9,Leader
SC-Team 1,P088,Participant_88,user88@university.edu,FIFA,Defender,4,Leader
SC-Team 1,P082,Participant_82,user82@university.edu,Valorant,Attacker,10,Leader
SC-Team 1,P034,Participant_34,user34@university.edu,FIFA,Supporter,7,Leader
SC-Team 2,P087,Participant_87,user87@university.edu,Basketball,Attacker,4,Thinker
SC-Team 2,P030,Participant_30,user30@university.edu,CS:GO,Coordinator,4,Thinker
SC-Team 2,P007,Participant_7,user7@university.edu,DOTA 2,Attacker,5,Leader
SC-Team 2,P025,Participant_25,user25@university.edu,FIFA,Coordinator,9,Leader
SC-Team 2,P084,Participant_84,user84@university.edu,FIFA,Supporter,5,Thinker
SC-Team 2,P096,Participant_96,user96@university.edu,DOTA 2,Strategist,8,Thinker
SC-Team 2,P058,Participant_58,user58@university.edu,Valorant,Defender,3,Leader
SC-Team 2,P026,Participant_26,user26@university.edu,Chess,Strategist,8,Balanced
SC-Team 2,P004,Participant_4,user4@university.edu,Basketball,Supporter,4,Leader
SC-Team 2,P076,Participant_76,user76@university.edu,FIFA,Strategist,7,Leader
SC-Team 3,P048,Participant_48,user48@university.edu,Valorant,Defender,6,Thinker
SC-Team 3,P042,Participant_42,user42@university.edu,DOTA 2,Attacker,7,Thinker
SC-Team 3,P060,Participant_60,user60@university.edu,CS:GO,Coordinator,4,Thinker
SC-Team 3,P083,Participant_83,user83@university.edu,DOTA 2,Defender,10,Balanced
SC-Team 3,P045,Participant_45,user45@university.edu,Chess,Coordinator,2,Thinker
SC-Team 3,P006,Participant_6,user6@university.edu,CS:GO,Strategist,2,Thinker
SC-Team 3,P054,Participant_54,user54@university.edu,Valorant,Supporter,8,Thinker
SC-Team 3,P081,Participant_81,user81@university.edu,FIFA,Strategist,10,Thinker
SC-Team 3,P067,Participant_67,user67@university.edu,Basketball,Attacker,1,Leader
SC-Team 3,P049,Participant_49,user49@university.edu,Basketball,Supporter,3,Leader
SC-Team 4,P079,Participant_79,user79@university.edu,Chess,Supporter,5,Leader
SC-Team 4,P072,Participant_72,user72@university.edu,DOTA 2,Attacker,5,Thinker
SC-Team 4,P099,Participant_99,user99@university.edu,Valorant,Supporter,3,Thinker
SC-Team 4,P035,Participant_35,user35@university.edu,Basketball,Coordinator,8,Balanced
SC-Team 4,P018,Participant_18,user18@university.edu,FIFA,Defender,3,Thinker
SC-Team 4,P051,Participant_51,user51@university.edu,FIFA,Strategist,2,Thinker
SC-Team 4,P028,Participant_28,user28@university.edu,CS:GO,Defender,8,Leader
SC-Team 4,P094,Participant_94,user94@university.edu,CS:GO,Supporter,2,Leader
SC-Team 4,P021,Participant_21,user21@university.edu,FIFA,Strategist,4,Thinker
SC-Team 4,P055,Participant_55,user55@university.edu,Chess,Coordinator,8,Leader
SC-Team 5,P001,Participant_1,user1@university.edu,Chess,Strategist,2,Leader
SC-Team 5,P011,Participant_11,user11@university.edu,Basketball,Strategist,8,Balanced
SC-Team 5,P013,Participant_13,user13@university.edu,DOTA 2,Defender,4,Leader
SC-Team 5,P019,Participant_19,user19@university.edu,FIFA,Supporter,9,Leader
SC-Team 5,P102,dexx,dexx24@university.edu,FIFA,Strategist,10,Leader
SC-Team 5,P046,Participant_46,user46@university.edu,CS:GO,Strategist,5,Leader
SC-Team 5,P073,Participant_73,user73@university.edu,DOTA 2,Defender,8,Leader
SC-Team 5,P100,Participant_100,user100@university.edu,CS:GO,Coordinator,7,Leader
SC-Team 5,P057,Participant_57,user57@university.edu,CS:GO,Attacker,7,Thinker
SC-Team 5,P037,Participant_37,user37@university.edu,DOTA 2,Attacker,8,Leader
SC-Team 6,P070,Participant_70,user70@university.edu,Basketball,Coordinator,1,Leader
SC-Team 6,P101,fdgf,@university.edu,Chess,Attacker,8,Leader
SC-Team 6,P089,Participant_89,user89@university.edu,Chess,Supporter,6,Balanced
SC-Team 6,P075,Participant_75,user75@university.edu,Valorant,Coordinator,8,Thinker
SC-Team 6,P027,Participant_27,user27@university.edu,Chess,Attacker,6,Thinker
SC-Team 6,P069,Participant_69,user69@university.edu,CS:GO,Supporter,5,Thinker
SC-Team 6,P093,Participant_93,user93@university.edu,CS:GO,Defender,4,Thinker
SC-Team 6,P003,Participant_3,user3@university.edu,FIFA,Defender,4,Thinker
SC-Team 6,P090,Participant_90,user90@university.edu,Chess,Coordinator,5,Thinker
SC-Team 6,P033,Participant_33,user33@university.edu,FIFA,Defender,7,Thinker

=== UNASSIGNED PARTICIPANTS ===
ID,Name,Email,Game,Role,Skill,PersonalityType
P040,Participant_40,user40@university.edu,Chess,Coordinator,9,Leader
P091,Participant_91,user91@university.edu,FIFA,Strategist,10,Leader
